date,open,close,high,low,volume
2020-08-11 14:20:00,10.57,10.57,10.6,10.55,11685.8
2020-08-11 14:15:00,10.58,10.56,10.59,10.56,18394.8
2020-08-11 14:10:00,10.64,10.58,10.66,10.58,26339.0
2020-08-11 14:05:00,10.65,10.65,10.66,10.64,8381.2
2020-08-11 14:00:00,10.62,10.65,10.66,10.62,12795.7
2020-08-11 13:55:00,10.61,10.62,10.63,10.61,3301.0
2020-08-11 13:50:00,10.61,10.62,10.63,10.6,3317.85
2020-08-11 13:45:00,10.61,10.62,10.64,10.6,6982.0
2020-08-11 13:40:00,10.62,10.61,10.63,10.6,7135.0
2020-08-11 13:35:00,10.63,10.61,10.63,10.6,7514.0
2020-08-11 13:30:00,10.62,10.63,10.63,10.62,3873.0
2020-08-11 13:25:00,10.64,10.63,10.64,10.62,3725.0
2020-08-11 13:20:00,10.63,10.63,10.64,10.61,5200.0
2020-08-11 13:15:00,10.63,10.63,10.64,10.63,3121.0
2020-08-11 13:10:00,10.62,10.64,10.64,10.61,3237.0
2020-08-11 13:05:00,10.63,10.62,10.64,10.62,4551.41
2020-08-11 11:30:00,10.62,10.63,10.63,10.61,2964.6
2020-08-11 11:25:00,10.6,10.61,10.62,10.6,5556.0
2020-08-11 11:20:00,10.63,10.6,10.63,10.6,7746.24
2020-08-11 11:15:00,10.64,10.62,10.64,10.62,3800.22
2020-08-11 11:10:00,10.64,10.63,10.65,10.63,4938.0
2020-08-11 11:05:00,10.64,10.63,10.65,10.63,6962.0
2020-08-11 11:00:00,10.63,10.64,10.65,10.63,7186.44
2020-08-11 10:55:00,10.64,10.64,10.65,10.61,11646.0
2020-08-11 10:50:00,10.64,10.64,10.65,10.63,3996.0
2020-08-11 10:45:00,10.65,10.64,10.67,10.63,7921.17
2020-08-11 10:40:00,10.66,10.65,10.68,10.65,17643.8
2020-08-11 10:35:00,10.67,10.67,10.67,10.65,12730.0
2020-08-11 10:30:00,10.67,10.68,10.68,10.66,12691.0
